country,type,cluster,avg_tone,std_tone,count_mentions
Venezuela,LEG,0,-3.9385485816707586,3.341239599219133,767
Swaziland,EDU,0,-2.6659905600353753,5.257184651683508,26
Monaco,EDU,0,2.9433409823844743,2.1031309634198143,11
Honduras,MIL,1,-4.046065441658681,2.134479445700995,92
Zambia,OPP,1,-6.679079934328158,4.132195311766071,265
Japan,UAF,1,-3.1492065670654688,3.3331413000034416,190
Hong Kong,HRI,2,-1.7806891883037212,1.4958555606649515,33
Cameroon,UAF,0,-5.891610883989869,3.0395085302376215,31
Nicaragua,AGR,2,0.9298229119143482,4.75477431272032,11
Saint Kitts and Nevis,CVL,2,-8.14818834670729,3.4647028260168935,30
Guyana,CRM,2,-5.451953710358932,5.422426040608665,4
Mongolia,SPY,2,-3.691173895991897,1.3538219540644225,7
Kiribati,CVL,2,-1.6419498990396069,1.0730656069864517,66
Kuwait,REF,2,-4.974670193267992,3.9137918751452725,20
Solomon Islands,EDU,2,-0.33604434560338253,2.0793043780799807,4
Antigua and Barbuda,EDU,1,-0.08499108151384302,3.1613017178603555,14
Mozambique,HRI,2,-4.75382003395586,0.0,2
Seychelles,OPP,1,-2.7314124505003097,2.843529890748964,3
Honduras,HRI,0,-4.56504952725362,2.4724286309398016,11
Brunei,OPP,2,-3.14779580401622,0.9990136269037632,5
Sudan,HRI,0,-9.89197996499908,1.8730523487800275,3
Vatican City,UAF,0,-3.04386750223814,0.0,2
North Korea,REB,1,-4.16666666666666,0.0,1
Vietnam,ENV,1,-1.02611940298508,0.0,1
Albania,GOV,1,-4.063220325074515,3.5619312365935745,6619
Canada,ELI,2,-1.7042563677223406,3.601060108878056,2237
Iraq,MED,1,-4.756473511200242,2.708010142513318,4972
Swaziland,GOV,0,0.38242643310547014,3.94376658026435,705
Germany,COP,1,-6.537891071579452,3.1888009260380503,20949
Norway,LEG,0,-0.8233496773228434,3.1076514511698514,436
Barbados,BUS,2,0.9520619635247102,1.2138742728211878,49
Tuvalu,GOV,0,-2.0715105558734206,1.6064465068022395,947
Denmark,REF,1,-3.021599167003826,1.8904483661231515,191
Jordan,REF,0,-3.578567952385377,2.7977348422058976,759
Liberia,COP,2,-4.337323785349813,4.534557969439906,575
Dominica,GOV,2,-4.336899254996183,3.409287659248293,1973
Chad,REB,1,-4.296779757245635,1.6200979815876009,30
Uzbekistan,JUD,0,-6.457189311846979,1.9950874433673969,262
Algeria,CRM,1,-5.934955551753893,2.9956737304731806,50
Yemen,EDU,1,-3.760209425555136,2.4533298362533986,679
Moldova,OPP,1,-7.365859822126963,2.5045727879081996,33
Papua New Guinea,?,1,-3.2216577716098835,3.3153012814605574,40829
Zimbabwe,?,1,-3.517383839415382,3.44096069958018,133618
Liberia,GOV,1,-1.5546527300557733,3.0677652274384,3427
Madagascar,?,1,-1.714301974699501,3.251496349764692,12163
Rwanda,REF,1,-6.003954016303033,3.2588433396564764,288
Costa Rica,CVL,0,-0.5560216729922265,2.942622688593871,120
Belgium,UAF,2,-6.10006558202267,3.2492007861615164,234
Angola,UAF,2,-9.782069574858228,3.123251856364276,46
Tonga,COP,0,-6.098155354283436,4.294025958575681,48
Latvia,OPP,1,-2.2908187042240837,5.3471524148298455,8
Bulgaria,EDU,0,2.1019794952255455,3.1528905316682434,120
Jamaica,CRM,0,-5.678810440674369,3.449934466592477,65
Kiribati,JUD,1,-8.213784206967699,4.86327035122383,5
Lithuania,CRM,0,-7.045571784411065,3.717743129557766,20
Turkmenistan,REF,2,-5.35998122284386,1.3191527967554233,13
Malawi,OPP,1,-5.287034616459937,1.9977638004712666,29
Liberia,HLH,2,-1.2727951287930053,3.0075665628733033,131
Central African Republic,LEG,0,-5.081009175076075,2.077496988058042,20
Nicaragua,OPP,1,-3.532547403636219,2.755184105328869,43
Latvia,LAB,0,-2.6188139035727964,1.95657982530476,20
Grenada,MIL,0,-0.6337856250971007,2.7792612671875405,16
Kuwait,REB,1,-5.642730029156378,1.3698954944032087,26
Tajikistan,AGR,1,3.47490347490347,0.0,1
Benin,INS,0,-2.1635549273392702,0.3410476483415626,7
Swaziland,HLH,1,-0.9837693091374353,8.104298961126167,2
South Africa,UAF,1,-4.682522016589409,2.651426651354999,17
Solomon Islands,MED,1,-3.7533988317782554,3.0481646933834448,22
Finland,HLH,2,-0.7198620603763181,3.0789787895232488,9
Paraguay,AGR,2,-4.41536175731207,2.661905660437059,31
Croatia,CRM,2,-5.116105529019409,1.7481121593890847,15
Norway,SET,2,-0.694444444444444,0.0,1
Cape Verde,BUS,1,1.33928571428572,0.0,1
Tonga,ELI,2,2.065579085833201,0.19641302658103904,18
Vanuatu,GOV,2,-3.8813785239354615,3.2209876380147544,1554
Sweden,JUD,0,-6.6194985447810115,3.2095024886375767,6629
Israel,LEG,1,-4.373899419563876,4.066896350830396,4857
France,EDU,0,-0.8302938836732492,3.627654338721927,5940
Indonesia,COP,0,-5.901611536152002,3.275405985865574,12500
Kenya,BUS,0,-1.7094223297491522,4.6252659325240595,1877
Portugal,ELI,2,-3.6925847079827117,3.2695434179717093,22469
Ecuador,CVL,1,-4.723558691573334,2.9208494650039225,229
Ireland,HLH,0,-4.577351708205326,4.109076386708022,889
Honduras,JUD,0,-5.291070866918699,3.269239036683201,199
Brazil,MIL,2,-3.421429966476633,3.4005372394691937,1044
Ghana,MED,2,-2.107551982888268,4.1887679531316975,483
Taiwan,OPP,1,-3.9848957918914647,3.520604727443623,810
Canada,OPP,2,-4.757334323126993,3.0485288961307258,657
Haiti,?,0,-2.3937913614506736,3.5240392781931154,89310
West Bank,CRM,1,-8.761632041873401,3.0472694970974907,1190
Indonesia,REB,1,-4.783397167338423,5.517061110162617,21
Cameroon,MIL,1,-7.42030872107488,2.99919650561137,941
Libya,REB,1,-4.663661930920461,2.625955860432642,830
Mauritania,JUD,0,-6.482906821282505,3.7826369546434635,48
Oman,BUS,1,2.2310671741807844,3.0840599358274066,519
Sierra Leone,REF,0,-0.004306183739540929,3.5618497081554463,24
Tajikistan,CVL,2,-4.331683050563239,3.7296674676136656,336
United Arab Emirates,CVL,0,-0.4008326552616837,3.2143583788278147,283
Malaysia,RAD,0,-3.703815401994114,2.1771170373258273,15
Malaysia,CRM,0,-4.741803395156499,4.449921347218117,84
Russia,HRI,2,-5.030377361666548,5.401685067630328,127
Mauritania,UAF,2,-5.681298147698247,0.7053962320885566,135
Democratic Republic of the Congo,UAF,0,-6.4570426215855194,3.04440470375112,101
Gambia,EDU,0,-0.2645871676261048,3.583805377965774,121
Belize,CVL,2,-3.0283826519578123,3.4520671054264565,89
Haiti,REB,1,-3.9088734448943803,4.408561119008323,18
Vanuatu,OPP,1,-4.5450411806170115,1.7932003402922956,17
Myanmar,NGO,2,-3.398646440036316,2.1670709539316806,97
Trinidad and Tobago,HLH,2,-1.9751346543683121,2.8918947983446692,26
Democratic Republic of the Congo,HRI,0,-9.864601156571993,1.0017611939572482,47
Comoros,MED,1,-0.037257311415758054,4.038803429447528,5
Belarus,REF,0,-3.3931152661338477,1.264198972325944,8
Madagascar,MED,2,-3.908759446137962,3.744476877463554,25
Kyrgyzstan,REB,2,-8.004801591378529,1.1070411498372932,6
Marshall Islands,UAF,1,-7.97481636935991,0.0,2
Samoa,AGR,0,0.4326546198243199,0.5777885234657416,7
Suriname,UAF,2,-8.67469879518072,0.0,2
Guinea,HLH,2,-2.9404652467439742,3.1695347221974886,18
Vietnam,REB,1,-3.577521537856226,1.6537515092281592,11
El Salvador,OPP,1,-5.2167907465281855,1.7569153743810781,8
Spain,HRI,0,-4.930660709099765,3.663484792889766,18
Russia,INS,2,-4.52099031216362,0.0,2
Turkey,SET,2,0.5138325951558234,0.6240462648017255,3
Ireland,SEP,1,-10.0832562442183,0.0,3
Canada,LEG,1,-2.165163549777265,3.194895682028272,3245
Thailand,ELI,1,-4.770394278961758,3.194686582956434,1498
Iraq,COP,1,-4.649447492180691,2.952513506303072,17092
Russia,OPP,1,-6.135032301301273,3.224193545224689,6217
Israel,MIL,1,-6.79156160281726,3.7943343471706754,38389
Vietnam,CVL,0,-0.6248062708203961,3.7230291737221033,1774
Ethiopia,BUS,0,0.5811787566442503,3.5062646977593963,1632
Poland,REB,2,-2.140201933674786,2.197610151286329,1254
Armenia,CRM,2,-4.61482318566066,2.42551869035124,73
North Korea,LEG,1,-0.9402250800180046,2.5357812301837335,1726
Guyana,AGR,2,-0.1764776198097663,2.685624528072977,346
Afghanistan,SPY,2,-5.314975071125704,2.786470492181139,3865
South Africa,BUS,2,-2.2273623976938635,3.80722307235291,1829
Congo,UAF,1,-7.480665490528491,2.5077370497119937,183
Indonesia,OPP,1,-3.4595890999121126,2.835786756034464,1225
Switzerland,OPP,2,-4.02460737976153,2.826002577082671,454
Mexico,UAF,2,-7.358401139829159,3.2207862565784455,307
