,ActorCountry,MentionsCountry,avg_tone,stddev_tone,count,avg_conf,avg_weighted_tone,std_weighted_tone
20,Malaysia,Sierra Leone,-1.5012388335259879,3.362029134450367,161,41.92546583850932,-1.4926128377470353,4.217400138754145
21,Bangladesh,Iraq,-4.687868318313004,3.4852172482558115,1239,39.32203389830509,-4.637804235588765,5.360864099635932
22,Cambodia,Philippines,-1.6164992895953567,3.6934164183882805,7495,40.93795863909273,-1.8114836131655025,5.103304997704233
23,Rwanda,Tanzania,-0.1385772508106223,3.5912770775307297,3955,40.25031605562579,-0.03479404993440975,4.328446561298186
24,Yemen,Oman,-4.207934365573487,3.2574653463171606,3918,42.19499744767739,-4.380430784408658,5.2194321086661795
25,Tanzania,Malawi,-2.7943040236374777,3.723042411452247,1180,43.279661016949156,-3.0773656584732545,5.586140618834257
26,Ukraine,Taiwan,-4.5447489152412315,3.387203604597601,1370,36.051094890510946,-4.782573012649947,5.618910098607563
27,Lithuania,Ukraine,-0.25370368935472887,2.889677595701595,1453,39.21541637990365,-0.31843319420440375,3.6511120774604127
28,Indonesia,Sudan,-3.2014256148160145,3.3593276116931152,323,33.1578947368421,-3.1869632822500753,4.689509339669017
29,United States,Myanmar,-1.6230996908080162,2.9933216758908947,6254,42.67668692037096,-1.5758754936472557,3.989545182469273
30,United States,Austria,-0.8429429802008997,3.344013060720283,1818,40.64906490649065,-0.6560425790584612,3.9239403291077264
31,China,Georgia,2.305831600817438,2.631335626422571,1113,34.49236298292902,2.032268147044076,3.4825647062750607
32,Burkina Faso,Angola,-4.171680837796201,2.5993969026668013,69,44.05797101449275,-4.308154838312081,4.614232092258495
33,United Kingdom,Tanzania,-1.3614023946078693,3.468757451390248,1763,38.0941576857629,-1.0210666850581476,4.1814017843365034
34,Norway,Brunei,-1.724916696484135,4.979929656067837,315,40.38095238095238,-1.4511429211373479,5.479058647070279
35,Libya,Cyprus,-4.1365601296776555,3.4099643154336783,378,42.301587301587304,-3.8638119424798787,4.941996632422742
36,Trinidad and Tobago,Jamaica,-1.3316963350391264,3.50860386050715,5261,42.17068998289299,-1.483278303431326,4.525200347778924
37,Australia,Brunei,-1.5637159723995175,4.27769845893698,3107,40.26713871902157,-1.4856924700602054,5.310389215568289
38,Mongolia,Vietnam,2.4780790146009304,2.8821709671316884,417,41.462829736211035,2.35712821993179,3.575465711352477
39,Ethiopia,Italy,-1.5992232636665642,3.7156063637211347,694,39.2507204610951,-2.021475174291947,5.197281931750411
40,Singapore,Russia,-0.3590264620204262,3.261495255715842,3211,41.874805356586734,-0.36434995060562453,4.171874753563565
41,Cook Islands,United States,-1.2882147481888098,2.553733334329651,3315,42.30467571644042,-1.3425090227276373,3.5646161162795065
42,Brazil,Namibia,-1.9501205899322807,2.8191690188417535,269,36.43122676579926,-2.106633999750296,3.839876413291025
43,China,Macedonia,-0.36160630877397043,3.020604188328666,850,39.23529411764706,-0.10781008407572175,3.8667458567407915
44,Mauritania,Canada,-3.2616816411155876,3.1193315163240456,813,29.82779827798278,-2.578434503073581,4.85768575317437
45,Ireland,Cyprus,-0.28426412347581304,3.4726427326964875,1024,41.142578125,-0.2019627741171412,4.324827174315398
46,Brazil,Portugal,-0.46334885644410506,3.368617823002622,432,45.416666666666664,-0.3585312274385488,3.4529462324850413
47,Democratic Republic of the Congo,Syria,-5.063670577292855,1.948491587791493,476,44.22268907563025,-5.102771220534949,4.518723007617565
48,Uganda,Italy,-1.815549803712606,3.5658581106965683,690,43.04347826086956,-1.481251596535333,4.638878575782846
49,Cuba,Sudan,-1.7469047535017062,2.1142345613984364,150,40.266666666666666,-1.7020190971296463,3.0663996352437706
50,Mali,Ireland,-5.658144469630163,3.3101125547335446,1008,40.932539682539684,-5.975113475411421,6.981727450996053
51,Vatican City,Sri Lanka,0.09856685000004642,4.047756062380994,267,56.47940074906367,0.5402214804156522,5.216485873041278
52,Kenya,Jordan,-3.3266731428465914,4.248944044429043,355,34.901408450704224,-3.4391347310441494,5.832233933659262
53,Haiti,Ireland,-3.9107602943894517,4.184802652974952,715,46.05594405594405,-3.773050159559458,5.4145541876828105
54,Luxembourg,Saudi Arabia,-2.561064158496472,3.300601695742122,442,45.79185520361991,-2.731938530336179,4.662164600555723
55,Tunisia,Taiwan,-6.483600422678417,3.631431011823487,436,41.92660550458716,-6.542640600616232,6.482797451276577
56,Maldives,Myanmar,-1.652447060824873,3.4230377003879595,90,63.888888888888886,-1.405138526815316,3.6740735147805315
57,Armenia,Iran,-2.384615102209517,4.129239156240936,2444,37.95008183306056,-2.084885275663026,5.5607041395942405
58,Azerbaijan,Nigeria,-2.9192251080113603,3.9302007566174137,353,38.611898016997166,-3.1877375705565134,6.046246823093131
