country,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
Burundi,-5.976917421289154,3.454705708703987,235904,72473,48.08922273467173,-6.011868922202009,5.758741208948153,-8.36653386454184,-6.12244897959184,-3.87858347386172
Nauru,-4.544805976893498,2.8000684821050683,91014,15290,44.235612103632405,-4.640887898708002,4.865015766783037,-6.49038461538462,-4.45736434108527,-2.80210157618213
New Zealand,-1.1735125648761127,3.6635641394273897,725656,250208,43.94652562646764,-1.0824915340077075,4.485722751489303,-3.53356890459364,-0.80472103004292,1.38150903294367
Trinidad and Tobago,-1.5711239654522688,3.7575338722346854,70391,44350,41.56554104928187,-1.6282954595270454,4.876943305397003,-3.72033354714561,-1.28700128700129,0.92592592592593
Guatemala,-4.195579424969968,3.944436753028002,211338,68336,38.683388694886865,-4.408805484200133,6.131779727631605,-6.79611650485437,-4.47368421052632,-1.36088709677419
Mongolia,-0.49495158618596546,3.4258932219047398,99719,39820,42.27469188419459,-0.46406009549584704,4.281933221699,-2.43902439024391,-0.31104199066874,1.70731707317073
Gabon,-3.3314678880836683,3.630566151559435,38316,14250,42.70252635974528,-3.3836331264953974,5.278793202743006,-5.77777777777778,-3.7344398340249,-1.10375275938189
Colombia,-2.55731557989651,3.568111993984793,646108,192696,41.748918137524996,-2.6581607629517374,4.956712129009541,-4.93273542600897,-2.7047913446677,-0.17636684303351
Azerbaijan,-3.2484964049289866,3.9923120334353377,306524,158677,37.4246388537276,-3.350617378510942,5.98205817627417,-6.03174603174603,-3.03797468354431,-0.37878787878788
Libya,-4.1991417178345065,2.8237285543958515,1006667,271709,38.54649054751969,-4.281527817155562,4.960841966165711,-5.94059405940594,-4.05405405405405,-2.35849056603774
Uganda,-3.5349443067107016,3.7952107620987743,490374,198554,41.192722289517796,-3.4830612501280993,5.2748260150374495,-6.16966580976864,-3.40618790803292,-0.99833610648918
Moldova,-2.2654283861710542,3.7904482201794054,101458,39399,41.37712156754519,-2.742836638843427,5.80073377190046,-4.52342487883683,-1.97530864197531,0.0
United Kingdom,-2.228129053065023,3.674184412316835,9021484,2910713,38.96540081432279,-2.1234513722610573,4.968555652319766,-4.6639231824417,-2.08700025144581,0.24630541871922
Italy,-2.4785399166179003,3.76532531186127,2827838,826155,37.22463592327425,-2.417837248728545,5.205804653700007,-5.10948905109489,-2.44399185336048,0.25542784163474
Ethiopia,-2.99163828722196,4.055474591550891,402772,163460,40.16346717249461,-2.955007916345479,5.702054358492284,-5.71428571428571,-2.90342941300231,-0.13717421124829
Brunei,-1.5262349967829125,2.554993244950309,187712,64668,29.164784350494376,-1.3623652387284635,3.691608435885146,-3.11004784688995,-1.69312169312169,0.0
South Sudan,-4.731480697375173,3.468435187166906,421590,136542,43.945183709291015,-4.739057030411744,5.466545806533365,-7.10659898477157,-4.68277945619335,-2.66311584553928
United Arab Emirates,-1.5881521280636086,3.780720641817998,853936,292877,40.06016844353675,-1.4039368993892312,5.009482225840516,-4.05576679340938,-1.73469387755102,0.961538461538458
Cook Islands,-0.5345818123943643,3.1709367496154344,8682,4361,44.35268371343008,-0.5651446623537213,4.003332193764188,-2.36100533130236,-0.898203592814371,1.52091254752851
Saint Lucia,-1.5326113029657018,3.6011506264279816,42144,18628,48.1997437357631,-1.5690111696926032,4.532490780857227,-3.1021897810219,-1.58730158730159,0.835654596100281
Suriname,-2.7447900314238054,4.054028729196807,12915,6412,46.29965156794425,-2.80427516201746,5.259462478538561,-5.64516129032258,-3.16301703163017,0.69991251093613
Gambia,-2.427922371349101,3.6627003841979935,196808,60229,41.138215926181864,-2.5055308420166837,4.954567182035442,-4.65686274509804,-2.39520958083833,0.0
Kenya,-4.043952789235296,4.232240758778774,984918,352271,42.25954851063744,-4.0035080756866295,5.96872134184015,-7.2289156626506,-4.13793103448276,-0.93109869646182
Guinea,-2.6369214755792605,3.631617372649283,97274,33827,40.30953800604478,-2.716766548965408,5.162414919310568,-5.16129032258065,-2.60223048327137,-0.22573363431151
Spain,-2.832377558151467,3.79699012395941,1964990,580130,39.76694537885689,-2.796208948837328,5.190591017634504,-5.43735224586289,-2.78592375366569,0.0
