country,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
Vietnam,0.9691735123669759,3.680360147811528,208345,160681,40.71515995104274,0.907514694753713,4.515261044714749,-1.33234641006662,1.46750524109015,3.53130016051364
Anguilla,2.07378985318032,3.367413854543794,2242,2119,53.61730597680642,1.819712630698814,4.415703332433895,0.28490028490029,2.41080038572807,4.20560747663552
Russia,-2.610784094108808,3.1992682454207597,652469,490270,37.61864548354021,-2.5733506998834574,4.578307032371135,-4.4776119402985,-2.44565217391305,-0.55401662049861
Paraguay,-4.8367162209335595,0.8696623204765209,9,9,20.0,-5.27498483514008,4.752075770984626,-4.39844760672704,-4.39844760672704,-4.39844760672704
Senegal,-1.8682367718066935,1.6303873917758473,46,28,38.47826086956522,-1.9745367741398385,3.2437084858866982,-2.44590780809031,-1.06866150146941,-0.73822825219473
Eritrea,-0.33831261025244136,4.354559052422618,12081,10243,48.36271831802003,-0.21776082835928656,5.284046520476628,-3.70370370370371,-0.1779359430605,2.84090909090909
Philippines,-2.0141507463198014,3.574040025814367,1834169,796432,38.4486544042561,-1.8746423062559148,4.667027843277765,-4.47470817120623,-1.98412698412699,0.51813471502591
Chad,-7.17148866155345,4.437653429725531,38,35,49.73684210526316,-7.1466248377420145,8.970664087323035,-7.88530465949825,-7.60456273764258,-6.17977528089887
Sweden,-1.0436542106261635,3.5514477287801833,25588,22392,44.76004377051743,-0.831847780752014,4.359693647200402,-3.32922318125771,-0.97902097902098,1.29366106080207
Turkey,-3.0198856220820547,3.6706209861111363,475496,271583,39.45907010784528,-3.157098114553645,5.391904622161097,-5.35714285714285,-2.80898876404495,-0.46838407494145
Malawi,-2.2123209034934943,4.148832662797904,54118,49213,46.581174470601276,-2.050493221683181,4.98452912991722,-5.0,-2.12765957446809,0.67822155237377
Djibouti,1.651370805487727,2.543835018699253,694,652,45.54755043227666,1.591109637625486,3.8859980982134608,0.0,1.85589519650654,2.96495956873316
Tonga,0.16252244055084997,3.7005013237405677,1954,1843,50.22517911975435,0.1426807529339659,4.3803736305579815,-1.65289256198347,0.45871559633027,2.39361702127659
Ivory Coast,1.9032177258873928,2.2288784854844295,218,216,48.85321100917431,2.0930065619356033,2.76325991025007,0.8130081300813,2.0440251572327,3.49206349206349
Jordan,-0.17999262265040428,4.042950625811545,46719,31195,44.35540144266786,-0.07775232045095688,5.001030920545188,-2.33918128654971,0.3584229390681,2.38095238095239
