source_name,tone
fijitimes.com,3.02267002518892
tehelka.com,0.0
foodmag.com.au,-1.31771595900439
weforum.org,-1.24804992199688
matangitonga.to,-0.70521861777151
co2science.org,-2.75
sbs.com.au,-2.16572504708098
mashable.com,-0.72756669361358
pina.com.fj,-0.0783699059561096
fijitimes.com,-0.421940928270042
fis.com,-4.13354531001589
bradenton.com,-1.06837606837606
icrc.org,3.11111111111111
desmogblog.com,-0.0975609756097602
bignewsnetwork.com,0.49668874172185
focustaiwan.tw,1.7094017094017
climateactionprogramme.org,2.29357798165138
radionz.co.nz,2.02020202020202
taiwannews.com.tw,0.30075187969925
taiwannews.com.tw,0.30075187969925
focustaiwan.tw,1.34228187919463
thejetnewspaper.com,2.88888888888889
pina.com.fj,2.65486725663717
fijitimes.com,4.27807486631016
scoop.co.nz,7.45341614906832
samoaobserver.ws,5.30035335689046
humanitariannews.org,0.0
india.com,2.62096774193549
eyeontaiwan.com,2.27272727272727
ltn.com.tw,-0.48367593712212
focustaiwan.tw,-1.49700598802395
taipeitimes.com,-1.5625
nownews.com,-1.17302052785923
pina.com.fj,-1.59574468085106
pina.com.fj,-1.59574468085106
samoaobserver.ws,-1.2
samoaobserver.ws,-1.2
pina.com.fj,-2.13032581453634
samoanews.com,1.47058823529412
ifrc.org,-2.9126213592233
icsf.net,2.45098039215687
fijitimes.com,-2.70270270270271
reliefweb.int,1.32545115121344
devpolicy.org,-1.22484689413823
scoop.co.nz,-0.0341180484476298
samoanews.com,-5.43689320388349
fijisun.com.fj,7.33333333333333
pina.com.fj,1.02702702702702
pina.com.fj,1.02702702702702
thevillagessuntimes.com,1.46443514644352
weatherzone.com.au,-3.53982300884956
pina.com.fj,-2.01511335012594
directionsmag.com,0.51020408163265
totaltele.com,2.63157894736842
travelpulse.com,6.25
unmultimedia.org,-5.6
unmultimedia.org,-5.6
borgenproject.org,-4.60652591170826
metro.us,1.73611111111111
channelnewsasia.com,1.91304347826087
businessinsider.com,1.83946488294314
swissinfo.ch,1.38674884437596
channelnewsasia.com,1.91637630662021
swissinfo.ch,1.38674884437596
pina.com.fj,-0.35587188612099
eastwestcenter.org,0.77972709551657
fijilive.com,0.85287846481876
thejetnewspaper.com,1.02639296187683
innercitypress.com,-2.70270270270271
fijitimes.com,-2.77777777777778
cookislandsnews.com,-1.35135135135135
fijitimes.com,1.01694915254238
seatingchair.com,0.13986013986014
fox8live.com,-1.51006711409396
tradenewswire.net,-2.34948604992658
maritime-executive.com,-2.40601503759399
maritime-executive.com,-2.40601503759399
yahoo.com,-7.81893004115231
desmogblog.com,-0.0975609756097602
mvariety.com,2.24358974358975
pina.com.fj,-2.01511335012594
arabiansupplychain.com,-2.38095238095239
netindia123.com,3.58565737051792
webindia123.com,3.93258426966292
business-standard.com,3.9622641509434
india.com,3.79241516966068
netindia123.com,3.58565737051792
business-standard.com,3.85438972162741
webindia123.com,3.82165605095541
netindia123.com,3.85438972162741
scoop.co.nz,7.45341614906832
dailymail.co.uk,0.26954177897574
pina.com.fj,-0.75853350189633
pina.com.fj,-0.75853350189633
thetimes.co.uk,-3.52112676056338
sudanvisiondaily.com,-1.90114068441065
eastwestcenter.org,2.7027027027027
dailytelegraph.com.au,1.5600624024961
dailytelegraph.com.au,1.5600624024961
sbs.com.au,-2.16572504708098
jewocity.com,0.29239766081871
independent.ie,-1.92307692307693
eveningexpress.co.uk,-1.96987253765933
neurope.eu,-1.03092783505155
discovery.com,-3.7953795379538
fijisun.com.fj,2.73224043715847
pina.com.fj,2.59365994236311
scoop.co.nz,-0.41884816753926
samoaobserver.ws,-1.63934426229508
islandsbusiness.com,0.3690036900369
reliefweb.int,3.06345733041575
lapresse.it,4.53900709219858
xinhuanet.com,3.125
china.org.cn,3.3195020746888
shanghaidaily.com,3.29218106995885
eastwestcenter.org,0.77972709551657
fijilive.com,0.85287846481876
thejetnewspaper.com,1.02639296187683
eastwestcenter.org,2.39774330042313
fijitimes.com,4.58015267175573
mic.gov.to,-1.9277108433735
indepthnews.info,-3.2590051457976
weforum.org,-1.24804992199688
wunderground.com,-1.4760147601476
yahoo.com,-2.6378896882494
mvariety.com,4.07239819004525
ap.org,-1.61239329750237
ivpressonline.com,-1.63934426229508
statesville.com,-1.63749294184077
ap.org,-1.61239329750237
ap.org,-1.61239329750237
readingeagle.com,-3.15736297044708
ap.org,-1.91322172873249
timescolonist.com,-1.99564586357039
ap.org,-2.09351011863224
ap.org,-1.74342105263158
ap.org,-1.74342105263158
theet.com,-2.41559953434226
theet.com,-1.63934426229508
theeagle.com,-2.09281164695178
bdtonline.com,-2.15743440233236
thepublicopinion.com,-2.41559953434226
roanoke.com,-2.15743440233236
dothaneagle.com,-2.15743440233236
starherald.com,-2.15743440233236
themonitor.com,-1.63934426229508
nonpareilonline.com,-1.60699182407669
roanoke.com,-1.58013544018058
gazette.com,-2.8310502283105
voiceofalexandria.com,-2.2468631456084
greenwichtime.com,-3.07813733228098
theet.com,-2.41559953434226
ap.org,-1.74342105263158
ap.org,-1.75322527290771
lufkindailynews.com,-2.41559953434226
ivpressonline.com,-1.63934426229508
argus-press.com,-2.18722659667541
voiceofalexandria.com,-2.09281164695178
lmtonline.com,-2.7788069655428
kdhnews.com,-2.7689030883919
ap.org,-2.57900472212132
ap.org,-1.91322172873249
ap.org,-1.91322172873249
ap.org,-1.92439862542956
morganton.com,-2.64922870556673
kdhnews.com,-2.97848869277441
ap.org,-2.1060021060021
ap.org,-2.30963551064597
bdtonline.com,-2.15743440233236
