country,actor_type,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
China,ELI,-1.1730600185580304,3.4587183094318763,8923,3325,27.70816989801636,-1.5449931760256754,4.994318744714058,-3.38028169014085,-0.70257611241218,1.37614678899082
Djibouti,MIL,-1.2770143775525984,4.14424828797165,681,356,39.28046989720998,-0.912567138398372,3.938870571665305,-4.4350580781415,-1.28913443830571,1.18577075098814
Iceland,GOV,-3.3352826372673214,2.888072523842721,11813,3225,50.98027596715483,-3.50027279366578,4.285584038782769,-5.3781512605042,-3.62239297475302,-1.63398692810458
Mauritania,COP,-7.105346443770285,2.70920981779424,338,105,38.46153846153846,-6.518348854989893,5.532165462879069,-9.27152317880792,-8.256880733945,-4.76190476190476
South Africa,BUS,-1.542530517743673,3.7172091800318854,4581,2291,28.92163283125955,-1.6569700589616265,5.597387245446668,-3.93700787401575,-1.2332990750257,0.9009009009009
Spain,LEG,-1.5743480306737871,2.760818075965643,12847,3482,52.29547754339534,-1.4607132736093429,3.1707645388916625,-3.15638450502152,-1.61290322580645,0.0
Switzerland,CVL,-1.7471458951285506,3.731470260500702,5306,2164,46.8450810403317,-1.7225476429366107,4.376299058260522,-3.91304347826087,-1.19284294234592,0.66225165562914
Trinidad and Tobago,MIL,-1.8215123856620004,3.3101119310999834,125,106,33.84,-1.2932458053543072,4.370861996949498,-4.56521739130435,-1.5015015015015,0.711743772241997
Uganda,MED,-4.958318744314113,3.208349244661594,2173,885,28.762080073630926,-4.738752719317653,5.89097671148609,-7.17360114777619,-5.28455284552846,-3.42612419700214
Trinidad and Tobago,LEG,-0.46624299479023384,3.3230526601524724,248,210,36.935483870967744,-0.6040172392914119,3.821745487299952,-2.44755244755245,-1.0228166797797,1.31578947368421
Solomon Islands,BUS,-0.20433466666467962,2.8064560920481942,29,25,61.37931034482759,-0.6441156250147126,3.568119942369161,-1.10429447852761,-0.96774193548387,1.4388489208633
Saint Kitts and Nevis,OPP,-2.020474651516806,2.1701684613477883,18,17,74.44444444444444,-2.340010998455864,2.852651430876307,-2.55474452554744,-2.27920227920228,-0.45045045045045
Brazil,ENV,-1.7683794588644948,2.2210239118595227,36,27,37.77777777777778,-1.9219529857236435,4.019590287557483,-3.33333333333334,-0.98360655737705,-0.62189054726368
Iraq,SEP,-2.547252747672733,2.2483954892491607,14,10,45.714285714285715,-3.2227638716453026,3.0812697572230148,-5.07880910683012,-1.45985401459854,-0.15839493136219
Liechtenstein,MED,-7.416866558946421,6.600315277431808,5,4,18.0,-7.947600173673509,7.6227068542668475,-11.7647058823529,-11.7647058823529,-2.64026402640264
United Arab Emirates,IGO,3.28947368421053,0.0,1,1,60.0,3.28947368421053,0.0,3.28947368421053,3.28947368421053,3.28947368421053
Algeria,JUD,-7.005045817396003,4.115726111177345,513,323,34.56140350877193,-6.923544672402936,7.7730145289911174,-10.3296703296704,-6.61157024793388,-4.52961672473868
Armenia,REF,-3.2379897537075686,3.2103672147295246,120,96,34.416666666666664,-3.066277399757634,4.328065498009296,-4.46428571428572,-3.78726833199033,-1.44694533762058
Brunei,BUS,-0.03717780521725197,2.9376037024113115,406,213,70.41871921182266,-0.08494497619833336,2.675652304459531,-1.14678899082569,-1.13285272914522,1.72413793103448
Croatia,CVL,-4.162298896295529,3.8886445925018305,1725,592,35.698550724637684,-4.133482960028863,4.99237023953346,-6.63841807909604,-5.31674208144797,-0.42941492216855
Iceland,BUS,-0.07772415433466939,3.1641180351532396,120,100,54.416666666666664,-0.25675959176639196,3.2953101272668435,-1.29310344827587,0.40816326530612,1.59151193633952
Iran,REF,-4.838758529145441,2.83550882307566,3724,1240,37.56176154672395,-4.980914066967895,4.439611504817621,-6.43203883495146,-4.60750853242321,-3.45622119815668
Israel,HRI,-5.308392554540357,2.6722704143072384,2897,617,39.968933379357956,-5.614213553068676,4.275238470896942,-7.44680851063829,-5.20833333333333,-3.34890965732087
Jordan,REF,-4.083216773597121,2.4832698262560022,3015,950,31.91044776119403,-3.9578109235239674,4.362292849176573,-5.42577241899021,-4.66830466830467,-2.84153005464481
Kuwait,GOV,-2.381054389589523,3.592086178276291,22955,7815,38.6251361359181,-2.4192420747297265,4.995859334698911,-4.75345867328841,-2.56410256410256,0.0
Lithuania,SPY,-3.326041357178598,2.7427201572373328,195,95,42.56410256410256,-3.7811048771564355,4.963087910014,-4.01234567901235,-2.66666666666667,-1.3840830449827
Moldova,OPP,-5.528472108729145,3.134407605701236,190,142,45.94736842105263,-4.968709323268632,4.719382389419916,-7.43494423791822,-5.93607305936073,-2.56410256410257
West Bank,SEP,-5.353694679043918,3.520312406771217,2808,1346,23.155270655270655,-5.215732516962692,5.02018172597874,-7.69230769230769,-5.27950310559006,-2.72
Zimbabwe,COP,-6.762205924268571,4.352401311379842,7339,2680,53.568606077122226,-7.451182294010715,7.395812098067017,-9.03010033444811,-5.59167750325097,-3.69357045143638
Uruguay,JUD,-4.55315295900594,3.570155185961636,284,78,27.887323943661972,-3.7929715578285434,6.815997318753398,-5.30973451327433,-5.06329113924051,-3.30578512396694
Philippines,MNC,1.9465403910489443,1.746876702852184,15,13,34.0,1.2717946750855769,1.5474479680266604,0.328947368421052,1.38248847926268,3.2590051457976
Kiribati,ELI,1.9252385678393187,2.4136185426438983,52,34,55.0,2.3667754882480105,2.9006137418413163,0.0,2.25442834138487,3.76344086021505
