country,actor_type,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
Nepal,RAD,-2.30547550432277,0.0,1,1,100.0,-2.30547550432277,0.0,-2.30547550432277,-2.30547550432277,-2.30547550432277
Bulgaria,BUS,0.3364226258482274,2.7204854376504444,691,425,44.2836468885673,-0.031823611738806275,3.568205420157892,-0.81967213114754,0.854700854700855,2.06896551724138
China,ELI,-0.4212506667066154,3.8363156158436182,1493,1125,38.754186202277296,-0.5920499754292484,5.014474676753388,-3.05206463195691,0.0,2.36559139784946
Iceland,GOV,-0.1752509042899551,2.829507754184839,530,499,59.301886792452834,-0.1177510543279744,3.1784175514592246,-1.93798449612403,0.0,1.80180180180181
South Africa,BUS,-0.894052435602453,3.2381845201645802,2726,1955,22.134996331621423,-1.0681997580932177,4.747950607633418,-3.09777347531462,-0.5952380952381,1.30624092888244
Spain,LEG,-1.493480498068645,3.049264377535482,198,182,47.82828282828283,-1.2932408928344592,3.7018920859799485,-3.36391437308869,-1.32450331125828,0.52356020942408
Switzerland,CVL,-0.7100577493853885,2.3892356481923067,446,335,48.27354260089686,-0.7346689397023489,2.59763509527192,-2.12765957446808,-0.47219307450158,0.7181328545781
Trinidad and Tobago,LEG,-0.879511530078414,2.7665516147781197,691,620,38.3068017366136,-0.6826775277312149,3.222174600994487,-2.51256281407035,-0.96525096525097,0.977198697068404
Uganda,MED,-2.317226164311363,3.463305803314297,471,426,42.632696390658175,-1.8851315721355086,4.251442144562767,-4.22535211267606,-2.32558139534883,-0.40160642570281
Chile,GOV,-1.1496750528025523,4.425519581816404,172,166,43.13953488372093,-1.0898562534562042,5.652432587340559,-4.07523510971787,-1.06100795755968,2.18253968253968
Saint Kitts and Nevis,OPP,-0.8220485161127512,3.033814937649908,22,22,75.45454545454545,-0.992563137378172,3.3340688706996358,-4.46927374301676,-0.5607476635514,1.55844155844156
Trinidad and Tobago,MIL,-0.9988416652725295,3.042501597147849,239,210,35.52301255230125,-1.063142160679089,4.032755643691251,-2.9126213592233,-1.47058823529412,0.44543429844098
Solomon Islands,BUS,0.7989724013076619,3.6730645876857313,46,42,70.21739130434783,0.6180600883071482,3.5129766878993753,-1.5625,2.03327171903881,3.55329949238579
Djibouti,MIL,2.592558777687664,1.5282044612087373,8,8,26.25,2.1211483122392476,1.2513281076186504,1.54083204930663,2.10084033613445,2.76301806588736
Iraq,SEP,-5.74504509607699,1.7573820810627097,4,4,40.0,-4.984076332899055,1.5595212516638797,-7.26698262243286,-7.26698262243286,-4.22310756972112
Armenia,REF,-1.9332314275237592,4.16637864802541,107,75,37.850467289719624,-3.134070089653033,4.58390175473318,-5.91715976331361,-2.89017341040463,2.87769784172662
Iceland,BUS,0.8379232592059748,3.626611659346641,53,52,66.98113207547169,0.7801038534354267,4.054821529551604,-1.35593220338983,0.975609756097559,3.28638497652582
Israel,HRI,-5.732240993752522,3.6771454735933036,2974,1345,36.66442501681237,-5.196208465950868,4.026554223368572,-7.54716981132076,-5.68011958146487,-2.87086446104589
Kuwait,GOV,0.7011915518130986,4.4601664584003515,2395,2029,40.47599164926931,0.48024312171076344,5.385477967519034,-2.41935483870968,1.1326860841424,4.09836065573771
Zimbabwe,COP,-5.106937787044388,3.5871729000310966,1680,1109,53.904761904761905,-5.369749823655178,5.652294721414232,-7.39884393063584,-5.14469453376206,-2.87581699346405
Jordan,REF,0.05147176834937035,3.391502296658795,75,47,38.93333333333333,-0.23390787631214327,2.8452158365663727,-1.52091254752851,0.54644808743169,1.70316301703163
Philippines,MNC,0.6062207071860776,3.192380563724044,37,34,32.16216216216216,-0.016302884337190723,3.8546651617361576,-1.84331797235023,0.78003120124805,2.25806451612903
Brunei,BUS,2.8757609923263416,3.1857282158231937,206,188,48.300970873786405,3.0540858663175365,4.019365715120522,2.00501253132832,2.90858725761773,4.52261306532663
Iran,REF,-5.3485371271830795,4.133466169932373,87,58,47.47126436781609,-5.575929463259677,5.683228794304775,-9.40409683426445,-4.8051948051948,-2.04081632653061
Croatia,CVL,-0.34227204603657824,3.9629140728283114,114,114,38.1578947368421,-0.7698924282901148,6.0720960562123665,-2.47524752475247,0.71428571428571,1.88034188034188
Lithuania,SPY,-2.608624747693968,2.18596753289485,5,5,44.0,-3.187464080698338,3.3389217118170227,-4.76190476190476,-1.01681658193195,-1.01681658193195
Algeria,JUD,-7.905157218200032,3.2454385799390413,4,4,47.5,-8.35920509643718,6.069287728978817,-10.6261859582543,-10.6261859582543,-6.17977528089887
Moldova,OPP,-1.14503816793893,1.6193285065340766,2,2,15.0,-0.7633587786259534,1.0795523376893845,-2.29007633587786,-2.29007633587786,0.0
Botswana,COP,-5.1995161635438345,3.373532846540383,325,271,51.16923076923077,-5.0205810990248665,4.60305578753708,-7.54716981132075,-5.08982035928144,-3.10378273520853
Czech Republic,ELI,-1.687867677079883,2.6109235967054705,1089,752,47.36455463728191,-1.7618516109862188,3.335683126422228,-3.10344827586207,-1.40845070422535,0.0
Malawi,COP,-6.53613094349075,3.2405770567295114,2766,2537,47.91395516992046,-6.485872492730989,5.67855061322859,-8.74704491725768,-6.54627539503386,-4.64037122969838
Sri Lanka,HLH,-5.506878372610335,4.256186326717517,1007,914,49.29493545183714,-5.608746383603175,6.267363504668314,-8.28402366863905,-5.46448087431694,-2.53164556962025
Trinidad and Tobago,BUS,-0.15195862688804432,3.047148911923371,460,375,49.17391304347826,-0.020417810961027506,3.4936034414590624,-2.53164556962026,-0.45977011494253,1.8058690744921
United Kingdom,LEG,-0.9962043608376374,3.0674092921280876,6751,3636,47.991408680195526,-0.987681364622368,3.5175870132367515,-2.6378896882494,-1.31578947368421,1.22249388753057
Zimbabwe,EDU,-1.4906494956611245,3.5590476527294865,1730,1202,46.179190751445084,-1.51717105541614,4.426313262399775,-3.73312152501986,-1.65016501650165,0.74766355140187
Panama,LEG,-0.6379681085421791,2.2752895948023597,35,33,47.142857142857146,-0.27181020367984976,2.3246477527088443,-2.33236151603499,-0.24752475247524,1.03448275862069
Lithuania,CVL,-0.9674440939826737,3.8159258955632325,121,120,40.413223140495866,-1.077490467016495,4.270304469566834,-4.11392405063291,0.0,2.0979020979021
Spain,NGO,-4.114663086739139,1.3426738365385404,9,9,58.888888888888886,-4.222466333559805,2.8597174138199914,-5.65583634175692,-4.43548387096774,-2.99003322259136
Tanzania,REB,-2.99940011997601,0.0,1,1,60.0,-2.99940011997601,0.0,-2.99940011997601,-2.99940011997601,-2.99940011997601
Albania,GOV,-1.20262636884054,3.37867805172024,2493,2129,42.888086642599276,-1.3564850434124442,4.365252076091056,-3.515625,-1.17302052785924,1.02564102564102
Armenia,MIL,-2.487006089744097,4.353387655661627,2457,1418,41.725681725681724,-2.37645671119197,5.090312137246105,-5.52147239263804,-2.0,0.67567567567568
Estonia,MIL,0.019193547011532114,1.8576714144569826,134,128,39.32835820895522,0.002056386590779303,2.203037316189908,-1.2012012012012,0.0,1.2448132780083
Ethiopia,OPP,-5.3075782058872925,3.3260411521934383,158,129,38.29113924050633,-5.4698788024281795,5.979373266415784,-7.22070844686649,-5.00548045305079,-3.33333333333334
Nigeria,REF,-4.383631911893509,3.767187529921584,1176,804,33.41836734693877,-4.45954190827055,5.301872684537059,-7.35294117647059,-4.03071017274472,-1.51515151515151
Philippines,REF,-1.9241940477195225,2.9787813594459913,96,82,34.583333333333336,-1.6555722397109283,3.9575729260297474,-3.7117903930131,-2.48267898383371,-0.43630017452007
Turkmenistan,CVL,1.8301900058652218,3.8301995725914355,23,23,50.43478260869565,1.3206662215382343,4.0860151958457545,-1.03448275862069,2.98102981029811,4.22535211267606
Uganda,BUS,-1.162580467515974,3.345733711576077,818,703,49.303178484107576,-1.0030338692402994,3.9067641157942967,-3.20366132723112,-1.10132158590309,0.72992700729927
Venezuela,ELI,-2.6973458998348074,3.770091350990169,88,84,49.65909090909091,-3.2596466745077493,4.977518739380991,-5.25451559934319,-2.80777537796976,0.68027210884354
Afghanistan,HLH,-6.113240698389496,3.8786553881163224,246,145,36.13821138211382,-6.228586249550457,7.378265437798001,-8.92678034102311,-6.52173913043478,-3.87481371087929
Mongolia,MED,1.3117937628702179,3.36667280518493,23,23,33.47826086956522,2.115907065147879,6.909794469291458,1.53846153846154,2.2508038585209,2.2508038585209
Netherlands,CVL,-3.165367298321028,4.528886178519451,189,186,46.402116402116405,-3.14072629528499,5.894117304805152,-6.59340659340659,-2.8,0.70422535211268
South Africa,AGR,-3.610998214813485,4.439170616324755,150,124,50.53333333333333,-4.783911018126111,7.4599828939817305,-6.00461893764434,-3.65168539325843,-0.59880239520958
Hungary,REF,-4.603185259633792,2.3737832626396926,18,15,38.888888888888886,-4.799842140219387,3.7465012382116583,-6.33484162895928,-5.78231292517007,-3.38645418326693
Brazil,UAF,-0.7469263913708932,3.7389608192654107,9,9,55.55555555555556,-0.37153213235983285,2.3803725831745615,-4.79452054794521,-0.70043103448276,3.54457572502685
Guyana,LEG,0.2596868112449867,2.884168536404742,66,62,52.57575757575758,0.2890064042352309,3.0100205270660285,-1.52542372881356,-0.30959752321981,1.23558484349258
Colombia,UAF,-3.6729816874154815,2.876566465507441,13,11,35.38461538461539,-3.0410322917662684,2.3403070993511514,-3.80047505938242,-2.1551724137931,-1.71428571428571
Macedonia,OPP,-3.963572342971023,2.8778019033205857,39,29,38.205128205128204,-3.9926624158818016,3.753260793061526,-5.76131687242798,-3.47394540942928,-2.08333333333334
Azerbaijan,CRM,-7.740080437752872,2.827707504863177,25,20,48.4,-7.239581725664805,4.537951920722838,-10.6060606060606,-8.05555555555555,-5.76923076923077
United Arab Emirates,OPP,-0.5607356138009092,6.141280723093937,10,8,34.0,-2.769579496801256,9.689160605881982,-0.72992700729927,-0.61728395061729,4.80769230769231
Dominican Republic,ENV,-3.6764705882353,0.0,1,1,60.0,-3.6764705882353,0.0,-3.6764705882353,-3.6764705882353,-3.6764705882353
China,CRM,-4.049387545578097,5.913376923158163,417,319,54.460431654676256,-4.196969580273024,7.423594932178936,-8.37070254110613,-4.51388888888889,-0.21762785636562
Japan,MNC,-0.22379177592951152,2.8485698037886955,5539,4573,63.767828127820906,-0.19501496893306297,3.2287475993847776,-1.58311345646438,0.0,1.45631067961165
