,Country,avg_tone,stddev_tone,count,avg_conf,avg_weighted_tone,std_weighted_tone
0,South Korea,-1.1656112037788438,3.2972120129247413,246402,46.104536489151876,-1.2560217809164598,4.279991203672368
1,Sudan,-2.8422439868787643,3.0499467140161625,57541,43.58579100119915,-2.846171933620733,4.259850156593501
2,Swaziland,-0.7271673765382138,4.0745491849668545,10053,47.3142345568487,-0.40351531619720904,4.684751895124594
3,Uzbekistan,1.1632956432107577,3.4510025695728372,7289,50.794347647139524,1.4353914496734748,3.918665296182669
4,Greece,-2.00349939079064,3.5021545310878657,111791,40.85758245297028,-2.1248956038763778,4.792093534744678
5,Hungary,-0.8017621115231465,3.3824947161455974,29109,45.235837713421965,-0.7871433485058664,4.161046346607148
6,Lesotho,-1.5295385608914613,3.532025699798469,6768,43.461879432624116,-1.223200227532679,4.143144420032895
7,New Zealand,-0.5302773432008164,3.552389206255619,503315,49.92736159264079,-0.5152213260187086,4.36442564485294
8,Fiji,0.1351868029374666,3.936735613165881,88524,49.09312728751525,0.31436102716992115,4.466317177511597
9,Gabon,0.08570161408349339,4.019900056139953,140,51.785714285714285,0.283552642829261,4.627341986185156
10,South Africa,-2.4328550406579375,3.9967351209897317,400526,36.646959248588104,-2.4603548031582263,5.197713176711913
11,Zambia,-0.8930417305542463,3.5278848126842264,75890,38.23547239425484,-0.8751321182257268,4.3864992147432575
12,Burundi,-3.1666309235943872,2.9978140796142694,1534,44.88917861799218,-3.144172565425742,4.394254003132491
13,Costa Rica,-0.8596433497184063,3.2865769342546813,16841,41.70951843714744,-0.6412381802180106,4.155164812879855
14,Rwanda,-0.1210678176002807,3.9686278211630532,37437,46.02665811897321,0.11970189671744177,4.626164757658435
15,Chad,-7.171488661553451,4.437653429725532,38,49.73684210526316,-7.1466248377420145,8.970664087323035
16,Dominican Republic,-1.7881580203238718,4.11859382072352,7867,42.168552179992375,-1.7485361297116444,5.2836168277937565
17,Lebanon,-2.4916816378012547,3.6456371137337715,65560,40.94600366076876,-2.5636826350627824,4.7998993714980225
18,United Kingdom,-1.7235966207980924,3.751604504452502,6320146,44.689333126165124,-1.6149156646186866,4.6175427000673075
19,Moldova,1.3603337610574555,3.3685364056917355,5836,39.6418779986292,1.3902052942379177,4.105620681965561
20,Philippines,-2.0141507463198014,3.574040025814367,1834169,38.4486544042561,-1.8746423062559192,4.667027843277765
21,Uganda,-2.041197459979174,3.6405253293868687,138499,41.77423663708763,-1.8394425394061664,4.539151933888162
22,Barbados,-0.4852188569238444,3.601322596996288,26104,52.17093165798345,-0.4972116889235412,4.226598333869967
23,Croatia,-0.436586630370831,3.520132719247547,9369,41.191162343900096,-0.2700550196678488,4.413299255058058
24,Liberia,-0.3279354662476969,3.6659787439444265,55169,43.08669723939169,-0.22986059881614362,4.419245893930416
25,Bermuda,0.1923897480435176,3.276678923130226,19647,47.795592202371864,0.24529449774751508,3.959216387654123
26,Cook Islands,0.6003380136919371,3.2121593098149375,4531,43.182520414919445,0.6908787280682067,4.005596098942463
27,Mexico,-1.8453258077775878,3.448529472376534,29682,39.642881207465805,-1.806282411485531,4.60139016097933
28,Algeria,0.05768432521008314,4.020856594876703,10695,45.414679756895744,-0.05132498171644127,5.040984260374725
29,Colombia,-3.1610191230184004,3.940215691993498,11736,45.109918200409,-3.2279282132664133,5.342830135658777
30,Egypt,-2.6441215879747415,4.313845646160436,134214,38.862860804387026,-2.9189873440083094,6.317143910727479
31,North Korea,-2.841144530987485,2.4496339179184345,36168,41.050652510506524,-2.760936985221232,3.6514283285458844
32,Peru,-0.21081536793758482,3.5788785952918754,7079,42.566746715637805,-0.02736852056741664,4.387192746999023
33,Congo,-1.7381172207904603,1.0690058297182505,7,38.57142857142857,-1.5077878733523566,1.4903227337482177
34,Haiti,-1.7674188431161453,3.363773711959752,19559,37.5065187381768,-1.700282372151569,4.479601494805528
35,Somalia,-3.434783439316232,3.328204027778558,144567,37.24266257167957,-3.396147111954568,5.148327561944422
36,Togo,1.2381834207666478,2.252683865094036,139,46.115107913669064,1.1747223009118561,3.413261972353634
37,Slovak Republic,-0.768862430935628,2.6268775415057073,6713,45.75301653508119,-0.7408488964372232,3.1817210420984408
38,Benin,-0.5683025208339612,1.2324508526720994,81,44.69135802469136,-0.5206789461942366,1.562471540128254
39,El Salvador,-3.24214792299899,0.0,6,36.666666666666664,-3.24214792299899,2.0673913358607585
40,Brunei,2.156952582080434,3.7892742015462435,16653,46.077583618567225,2.2407829385615163,4.736599717139224
41,Saint Vincent and the Grenadines,0.7594353258251199,3.9842974458752263,3531,56.601529311809685,1.0631918303826478,4.28658835204292
42,Macedonia,-0.4291157849264295,3.4669736119877537,18990,40.70405476566614,-0.35062254037076124,4.4239668487671215
43,United Arab Emirates,2.009760457093197,3.9523735195351626,182287,45.50428719546649,1.9933099677314339,5.032677923235915
44,Mauritius,-0.1746729383743009,3.1363552185350616,3100,47.04838709677419,-0.1894789493566777,3.802610457146046
45,Saint Kitts and Nevis,0.7969514118992318,3.92805296116283,3897,56.002052861175265,0.44755349409063444,4.727219140239631
46,Bahrain,2.6208263962563048,5.283883982580913,23694,49.57415379420951,2.525224013201922,6.526656487288394
47,Trinidad and Tobago,-1.7184244140921119,3.2989181927514157,65991,38.22627327968966,-1.6584993189376274,4.137596450877795
48,Bangladesh,-2.500469274803012,4.278407817285209,419327,44.60952907873807,-2.5715694011548362,5.76547519945925
49,Czech Republic,-1.8188172735132193,2.703243275962169,79036,39.6300420061744,-1.788066823353773,3.6362025275491887
50,Estonia,-0.4266425351033247,3.0567055065428446,13763,43.130858097798445,-0.4380542669711357,3.8088330628424862
51,Malaysia,-1.757953770424817,3.398341981615587,604138,46.975227514243436,-1.6661029529603681,4.2837557336627965
52,Afghanistan,-3.8988008497777673,4.2972265921008095,176586,42.693814911714405,-4.084781450056645,6.366185802009846
53,Finland,-2.083870097182769,3.5279643046580587,11843,45.851557882293335,-2.075007526020052,4.560297166622931
54,Japan,-1.1814607163549748,3.322644508505218,217495,45.170969447573505,-1.138095911706862,4.196442817194275
55,Vatican City,-0.08635652297026257,3.8376392559497905,12179,57.75597339683061,-0.1549272400640678,4.570875981421862
56,Portugal,-0.15735754017967715,3.5845950900619266,7870,46.639135959339264,-0.2507423665738399,4.491576389749061
57,Ukraine,-2.0706564311342506,3.744233872041847,108428,43.07309919946877,-1.911233817715141,4.769162705469797
58,Lithuania,0.2854416176899512,3.4119706156779706,14226,44.881203430338815,0.32030950030130884,4.192830659930614
59,Malawi,-2.2123209034934948,4.1488326627979015,54118,46.581174470601276,-2.0504932216831797,4.98452912991722
60,Russia,-2.6107840941088063,3.1992682454207575,652469,37.61864548354021,-2.5733506998834574,4.578307032371133
61,Saint Lucia,0.6922972818917107,3.927578381005751,10348,54.50328565906455,0.6991214234049594,4.836179850100875
62,France,-3.030912653351431,3.8380630989925675,130129,38.91238693911426,-2.9682024740252855,5.30666779857897
63,Pakistan,-2.3450253869947826,4.1323160385266515,1100426,43.45753371875983,-2.2850778415671344,5.361879938875044
64,Ethiopia,-2.264370448868182,4.045632544118246,36481,43.57583399577862,-2.087249871845183,5.157966711219663
65,Netherlands,-1.5844258568226808,4.118752288293109,23257,45.67786042911811,-1.6576145621596894,5.350642328128043
66,Switzerland,-1.4176138487629772,3.054346835999241,33963,45.405293996407856,-1.3248381570007963,3.7356761583086833
67,Syria,-4.351380773349829,3.371662001250054,83897,37.449372444783485,-4.445109105219545,5.742269128024916
68,Italy,-1.443748744253025,3.9790623388547917,116027,46.32042541822162,-1.3569133035718373,4.819996823548606
69,Kyrgyzstan,0.25902986512480825,3.7496629718775356,32023,46.56215844861506,0.2603920825780762,4.494061904329531
70,Armenia,-0.8108842857620805,4.041417970298048,271983,40.95458172018104,-0.6572444755716563,5.016009831053324
