709318119	20161123	201611	2016	2016.8849	JOR	JORDANIAN	JOR								SAUGOV	ABDULLAH	SAU					GOV			1	181	181	18	4	-9.0	6	1	6	-9.87654320987658	1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	20171123080000	http://www.gdnonline.com/Details/295252/Man-who-raped,-killed-eight-year-old-Jordanian-boy-executed
709318120	20161123	201611	2016	2016.8849	SAU	SAUDI ARABIA	SAU								BUS	COMPANY						BUS			1	035	035	03	1	7.0	5	1	5	2.73224043715847	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171123080000	http://www.koreaherald.com/view.php?ud=20171123000668
709318121	20161123	201611	2016	2016.8849	SAUGOV	ABDULLAH	SAU					GOV			JOR	JORDANIAN	JOR								1	173	173	17	4	-5.0	2	1	2	-9.87654320987658	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20171123080000	http://www.gdnonline.com/Details/295252/Man-who-raped,-killed-eight-year-old-Jordanian-boy-executed
709318122	20161123	201611	2016	2016.8849	USA	UNITED STATES	USA								BUSGOV	COMPANY						BUS	GOV		1	013	013	01	1	0.4	2	1	2	0.37641154328733	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20171123080000	https://www.thenational.ae/uae/america-s-black-friday-shopping-craze-spills-over-into-the-uae-1.677941
709318123	20171024	201710	2017	2017.8055	BEL	BELGIUM	BEL																		1	020	020	02	1	3.0	6	1	6	1.97044334975369	4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	0								4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	20171123080000	http://www.hexham-courant.co.uk/news/national/article/Celtic-boss-says-side-will-be-ready-for-Betfred-Cup-final-despite-PSG-thrashing-de8d5be9-33b8-4f88-ade8-f405d29035ac-ds
709318124	20171024	201710	2017	2017.8055	CHN	CHINA	CHN								KORGOV	SOUTH KOREA	KOR					GOV			1	040	040	04	1	1.0	8	1	8	0.60606060606061	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171123080000	http://world.kbs.co.kr/english/news/news_In_detail.htm?No=131887
709318125	20171024	201710	2017	2017.8055	CHN	CHINA	CHN								KORGOV	SOUTH KOREA	KOR					GOV			1	040	040	04	1	1.0	2	1	2	0.60606060606061	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171123080000	http://world.kbs.co.kr/english/news/news_In_detail.htm?No=131887
709318126	20171024	201710	2017	2017.8055	CHN	CHINA	CHN								KORGOV	SOUTH KOREA	KOR					GOV			1	046	046	04	1	7.0	8	1	8	0.60606060606061	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171123080000	http://world.kbs.co.kr/english/news/news_In_detail.htm?No=131887
709318127	20171024	201710	2017	2017.8055	CHN	CHINA	CHN								KORGOV	SOUTH KOREA	KOR					GOV			1	046	046	04	1	7.0	2	1	2	0.60606060606061	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171123080000	http://world.kbs.co.kr/english/news/news_In_detail.htm?No=131887
709318128	20171024	201710	2017	2017.8055	CHN	BEIJING	CHN								LEG	CONGRESS						LEG			1	173	173	17	4	-5.0	8	1	8	1.63934426229508	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20171123080000	http://news.xinhuanet.com/english/2017-11/23/c_136774243.htm
