GlobalEventID. (integer);Day. (integer);MonthYear. (integer);Year. (integer);FractionDate. (floating point;Actor1Code. (string);Actor1Name. (string);Actor1CountryCode. (string);Actor1KnownGroupCode. (string);Actor1EthnicCode. (string);Actor1Religion1Code. (string);Actor1Religion2Code. (string);Actor1Type1Code. (string);Actor1Type2Code. (string);Actor1Type3Code. (string);Actor2Code. (string);Actor2Name. (string);Actor2CountryCode. (string);Actor2KnownGroupCode. (string);Actor2EthnicCode. (string);Actor2Religion1Code. (string);Actor2Religion2Code. (string);Actor2Type1Code. (string);Actor2Type2Code. (string);Actor2Type3Code. (string);IsRootEvent. (integer);EventCode. (string);EventBaseCode. (string);EventRootCode. (string);QuadClass. (integer);GoldsteinScale. (floating point;NumMentions. (integer);NumSources. (integer);NumArticles. (integer);AvgTone. (numeric);Actor1Geo_Type. (integer);Actor1Geo_Fullname. (string);Actor1Geo_CountryCode. (string);Actor1Geo_ADM1Code. (string);Actor1Geo_ADM2Code. (string);Actor1Geo_Lat. (floating point;Actor1Geo_Long. (floating point;Actor1Geo_FeatureID. (string);Actor2Geo_Type. (integer);Actor2Geo_Fullname. (string);Actor2Geo_CountryCode. (string);Actor2Geo_ADM1Code. (string);Actor2Geo_ADM2Code. (string);Actor2Geo_Lat. (floating point;Actor2Geo_Long. (floating point;Actor2Geo_FeatureID. (string);ActionGeo_Type. (integer);ActionGeo_Fullname. (string);ActionGeo_CountryCode. (string);ActionGeo_ADM1Code. (string);ActionGeo_ADM2Code. (string);ActionGeo_Lat. (floating point;ActionGeo_Long. (floating point;ActionGeo_FeatureID. (string);DATEADDED. (integer);SOURCEURL. (string)
707237300;20171115;201711;2017;2017.8630;AUS;AUSTRALIA;AUS;;;;;;;;USA;EMPIRE STATE;USA;;;;;;;;1;51;51;5;1;3.4;8;1;8;-2.41691842900302;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;3;Empire State Building, New York, United States;US;USNY;;40.7487;-73.986;949654;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2,02E+13;https://www.9news.com.au/national/2017/11/16/07/15/aust-un-diplomat-falls-to-his-death-in-ny
707237301;20171115;201711;2017;2017.8630;AUS;AUSTRALIA;AUS;;;;;;;;USA;EMPIRE STATE;USA;;;;;;;;1;51;51;5;1;3.4;2;1;2;-2.41691842900302;3;Empire State Building, New York, United States;US;USNY;NY061;40.7487;-73.986;949654;3;Empire State Building, New York, United States;US;USNY;;40.7487;-73.986;949654;3;Empire State Building, New York, United States;US;USNY;;40.7487;-73.986;949654;2,02E+13;https://www.9news.com.au/national/2017/11/16/07/15/aust-un-diplomat-falls-to-his-death-in-ny
707237302;20171115;201711;2017;2017.8630;AUS;AUSTRALIAN;AUS;;;;;;;;USA;NEW YORK;USA;;;;;;;;1;51;51;5;1;3.4;1;1;1;-2.36406619385343;3;Manhattan, New York, United States;US;USNY;NY061;40.7834;-73.9662;971945;1;Australia;AS;AS;;-25;135;AS;1;Australia;AS;AS;;-25;135;AS;2,02E+13;https://www.theepochtimes.com/un-diplomat-dies-in-fall-from-balcony-after-trust-game_2358740.html
707237303;20171115;201711;2017;2017.8630;AUS;AUSTRALIAN;AUS;;;;;;;;USA;NEW YORK;USA;;;;;;;;1;51;51;5;1;3.4;1;1;1;-2.36406619385343;1;Australia;AS;AS;;-25;135;AS;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2,02E+13;https://www.theepochtimes.com/un-diplomat-dies-in-fall-from-balcony-after-trust-game_2358740.html
707237304;20171115;201711;2017;2017.8630;AUS;AUSTRALIAN;AUS;;;;;;;;USA;UNITED STATES;USA;;;;;;;;1;60;60;6;2;6.0;1;1;1;-2.41691842900302;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2,02E+13;https://www.9news.com.au/national/2017/11/16/07/15/aust-un-diplomat-falls-to-his-death-in-ny
707237305;20171115;201711;2017;2017.8630;AUS;AUSTRALIAN;AUS;;;;;;;;USA;UNITED STATES;USA;;;;;;;;1;60;60;6;2;6.0;1;1;1;-2.41691842900302;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2,02E+13;https://www.9news.com.au/national/2017/11/16/07/15/aust-un-diplomat-falls-to-his-death-in-ny
707237306;20171115;201711;2017;2017.8630;AUS;AUSTRALIAN;AUS;;;;;;;;USA;UNITED STATES;USA;;;;;;;;1;70;70;7;2;7.0;1;1;1;-2.41691842900302;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2,02E+13;https://www.9news.com.au/national/2017/11/16/07/15/aust-un-diplomat-falls-to-his-death-in-ny
707237307;20171115;201711;2017;2017.8630;AUS;AUSTRALIAN;AUS;;;;;;;;USA;UNITED STATES;USA;;;;;;;;1;70;70;7;2;7.0;1;1;1;-2.41691842900302;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2,02E+13;https://www.9news.com.au/national/2017/11/16/07/15/aust-un-diplomat-falls-to-his-death-in-ny
707237308;20171115;201711;2017;2017.8630;AUS;AUSTRALIA;AUS;;;;;;;;WSMGOV;SAMOA;WSM;;;;;GOV;;;0;120;120;12;3;-4.0;1;1;1;3.40557275541796;4;Apia, Samoa (general), Samoa;WS;WS00;25301;-13.8333;-171.733;-1307163;4;Brisbane, Queensland, Australia;AS;AS04;154654;-27.5;153.017;-1561728;5;Auckland, Auckland, New Zealand;NZ;NZE7;22379;-36.75;174.583;11483124;2,02E+13;http://www.samoaobserver.ws/en/16_11_2017/local/26713/Samoa-Airways-inaugural-flight-successful.htm
707237309;20171115;201711;2017;2017.8630;AUS;AUSTRALIA;AUS;;;;;;;;WSMGOV;SAMOA;WSM;;;;;GOV;;;0;120;120;12;3;-4.0;1;1;1;3.40557275541796;4;Brisbane, Queensland, Australia;AS;AS04;154654;-27.5;153.017;-1561728;4;Apia, Samoa (general), Samoa;WS;WS00;25301;-13.8333;-171.733;-1307163;4;Apia, Samoa (general), Samoa;WS;WS00;25301;-13.8333;-171.733;-1307163;2,02E+13;http://www.samoaobserver.ws/en/16_11_2017/local/26713/Samoa-Airways-inaugural-flight-successful.htm
707237310;20171115;201711;2017;2017.8630;AUSCOP;TASMANIA;AUS;;;;;COP;;;;;;;;;;;;;1;12;12;1;1;-0.4;10;1;10;-4.42477876106195;1;Australia;AS;AS;;-25;135;AS;0;;;;;;;;1;Australia;AS;AS;;-25;135;AS;2,02E+13;http://www.examiner.com.au/story/5055230/australians-urged-to-stay-alert-as-online-phishing-scams-target-netflix-spotify-users/
707237311;20171115;201711;2017;2017.8630;AUSGOV;TASMANIA;AUS;;;;;GOV;;;;;;;;;;;;;1;130;130;13;3;-4.4;10;1;10;-1.47058823529412;0;;;;;;;;0;;;;;;;;0;;;;;;;;2,02E+13;http://www.examiner.com.au/story/5059248/jupiter-venus-and-the-moon-to-closely-align-in-tasmanian-sky/
707237312;20171115;201711;2017;2017.8630;AUSGOV;AUSTRALIAN;AUS;;;;;GOV;;;USA;NEW YORK;USA;;;;;;;;1;10;10;1;1;0.0;3;1;3;-2.41691842900302;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2,02E+13;https://www.9news.com.au/national/2017/11/16/07/15/aust-un-diplomat-falls-to-his-death-in-ny
707237313;20171115;201711;2017;2017.8630;AUSGOV;AUSTRALIA;AUS;;;;;GOV;;;USA;NEW YORK;USA;;;;;;;;1;51;51;5;1;3.4;1;1;1;-2.36406619385343;3;Manhattan, New York, United States;US;USNY;NY061;40.7834;-73.9662;971945;1;Australia;AS;AS;;-25;135;AS;1;Australia;AS;AS;;-25;135;AS;2,02E+13;https://www.theepochtimes.com/un-diplomat-dies-in-fall-from-balcony-after-trust-game_2358740.html
707237314;20171115;201711;2017;2017.8630;AUSGOV;AUSTRALIAN;AUS;;;;;GOV;;;USA;NEW YORK;USA;;;;;;;;1;51;51;5;1;3.4;8;1;8;-2.74725274725275;1;Australia;AS;AS;;-25;135;AS;1;Australia;AS;AS;;-25;135;AS;1;Australia;AS;AS;;-25;135;AS;2,02E+13;http://thenewdaily.com.au/news/national/2017/11/16/australian-united-nations-diplomat-new-york-building/
707237315;20171115;201711;2017;2017.8630;AUSGOV;AUSTRALIA;AUS;;;;;GOV;;;USA;UNITED STATES;USA;;;;;;;;1;51;51;5;1;3.4;2;1;2;-2.36406619385343;1;Australia;AS;AS;;-25;135;AS;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;1;Australia;AS;AS;;-25;135;AS;2,02E+13;https://www.theepochtimes.com/un-diplomat-dies-in-fall-from-balcony-after-trust-game_2358740.html
707237316;20171115;201711;2017;2017.8630;AUSGOV;AUSTRALIAN;AUS;;;;;GOV;;;USA;NEW YORK;USA;;;;;;;;1;51;51;5;1;3.4;5;1;5;-2.36406619385343;1;Australia;AS;AS;;-25;135;AS;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2,02E+13;https://www.theepochtimes.com/un-diplomat-dies-in-fall-from-balcony-after-trust-game_2358740.html
707237317;20171115;201711;2017;2017.8630;AUSGOV;AUSTRALIAN;AUS;;;;;GOV;;;USA;NEW YORK;USA;;;;;;;;1;60;60;6;2;6.0;6;1;6;-2.41691842900302;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2,02E+13;https://www.9news.com.au/national/2017/11/16/07/15/aust-un-diplomat-falls-to-his-death-in-ny
707237318;20171115;201711;2017;2017.8630;AUSGOV;AUSTRALIAN;AUS;;;;;GOV;;;USA;NEW YORK;USA;;;;;;;;1;70;70;7;2;7.0;6;1;6;-2.41691842900302;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;4;Canberra, Australian Capital Territory, Australia;AS;AS01;4940;-35.2833;149.217;-1563952;2,02E+13;https://www.9news.com.au/national/2017/11/16/07/15/aust-un-diplomat-falls-to-his-death-in-ny
707237319;20171115;201711;2017;2017.8630;AUSGOVHLH;AUSTRALIA;AUS;;;;;GOV;HLH;;HLH;HOSPITAL;;;;;;HLH;;;0;20;20;2;1;3.0;2;1;2;0;4;Scotland Island, New South Wales, Australia;AS;AS02;5104;-33.6318;151.285;-1599692;4;Scotland Island, New South Wales, Australia;AS;AS02;5104;-33.6318;151.285;-1599692;4;Scotland Island, New South Wales, Australia;AS;AS02;5104;-33.6318;151.285;-1599692;2,02E+13;http://www.wsfm.com.au/newsroom/wsfm-breaking-news-thursday-november-16-2017
707237320;20171115;201711;2017;2017.8630;AUSLEG;AUSTRALIA;AUS;;;;;LEG;;;AUS;CANBERRA;AUS;;;;;;;;1;10;10;1;1;0.0;2;1;2;-2.41691842900302;3;Lower East Side, New York, United States;US;USNY;NY061;40.7159;-73.9868;2062661;3;Lower East Side, New York, United States;US;USNY;;40.7159;-73.9868;2062661;3;Lower East Side, New York, United States;US;USNY;;40.7159;-73.9868;2062661;2,02E+13;https://www.9news.com.au/national/2017/11/16/07/15/aust-un-diplomat-falls-to-his-death-in-ny
707237321;20171115;201711;2017;2017.8630;BDI;BURUNDI;BDI;;;;;;;;ELI;ACTOR;;;;;;ELI;;;0;46;46;4;1;7.0;4;1;4;1.56862745098039;1;Burundi;BY;BY;;-3.5;30;BY;1;Burundi;BY;BY;;-3.5;30;BY;1;Burundi;BY;BY;;-3.5;30;BY;2,02E+13;http://iowapublicradio.org/post/educators-organize-transgender-education-summit-wake-kedarie-johnson-murder
707237322;20171115;201711;2017;2017.8630;BGD;BANGLADESH;BGD;;;;;;;;;;;;;;;;;;1;13;13;1;1;0.4;10;1;10;0.997150997151;4;Dhaka, Dhaka, Bangladesh;BG;BG81;5778;23.7231;90.4086;-2737683;0;;;;;;;;4;Dhaka, Dhaka, Bangladesh;BG;BG81;5778;23.7231;90.4086;-2737683;2,02E+13;http://www.dhakatribune.com/bangladesh/politics/2017/11/16/far-will-rohingya-goodwill-carry-awami-league/
707237323;20171115;201711;2017;2017.8630;BHS;BAHAMA;BHS;;;;;;;;USA;FLORIDA;USA;;;;;;;;1;42;42;4;1;1.9;10;1;10;5.35211267605634;3;Lake View, Florida, United States;US;USFL;FL011;26.2995;-80.16;295399;3;Lake View, Florida, United States;US;USFL;;26.2995;-80.16;295399;3;Lake View, Florida, United States;US;USFL;;26.2995;-80.16;295399;2,02E+13;http://www.penbaypilot.com/article/shirley-ann-blake-obituary/94615
707237324;20171115;201711;2017;2017.8630;BRA;BRAZIL;BRA;;;;;;;;;;;;;;;;;;1;110;110;11;3;-2.0;1;1;1;-3.50194552529183;4;Combate, RondíÇ, Brazil;BR;BR24;10641;-10.2667;-62.9681;-637884;0;;;;;;;;4;Combate, RondíÇ, Brazil;BR;BR24;10641;-10.2667;-62.9681;-637884;2,02E+13;https://www.mmafighting.com/2017/11/15/16656050/five-fighters-released-ufc
707237325;20171115;201711;2017;2017.8630;BRA;BRAZIL;BRA;;;;;;;;;;;;;;;;;;1;110;110;11;3;-2.0;1;1;1;-3.50194552529183;4;Sao Paulo, Sí£Paulo, Brazil;BR;BR27;11543;-23.5333;-46.6167;-671824;0;;;;;;;;4;Sao Paulo, Sí£Paulo, Brazil;BR;BR27;11543;-23.5333;-46.6167;-671824;2,02E+13;https://www.mmafighting.com/2017/11/15/16656050/five-fighters-released-ufc
707237326;20171115;201711;2017;2017.8630;BRA;BRAZILIAN;BRA;;;;;;;;BRAMED;BRAZILIAN;BRA;;;;;MED;;;0;100;100;10;3;-5.0;6;1;6;-4.51478982874935;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;2,02E+13;https://knightcenter.utexas.edu/blog/00-19007-investigating-past-journalists-rewrite-collective-memory-human-rights-violations-latin
707237327;20171115;201711;2017;2017.8630;BRA;BRAZIL;BRA;;;;;;;;BUS;AIRLINE;;;;;;BUS;;;0;173;173;17;4;-5.0;4;1;4;-1.10803324099723;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;2,02E+13;http://www.scoop.co.nz/stories/BU1711/S00501/airline-fined-over-boarding-unauthorised-passenger.htm
707237328;20171115;201711;2017;2017.8630;BRA;BRAZIL;BRA;;;;;;;;FRA;PARIS;FRA;;;;;;;;1;30;30;3;1;4.0;10;1;10;-4.29988974641676;4;Brasilia, Distrito Federal, Brazil;BR;BR07;40202;-15.7833;-47.9167;-631243;4;Brasilia, Distrito Federal, Brazil;BR;BR07;40202;-15.7833;-47.9167;-631243;4;Brasilia, Distrito Federal, Brazil;BR;BR07;40202;-15.7833;-47.9167;-631243;2,02E+13;https://www.truthdig.com/articles/brazils-recession-grows-emissions-rise/
707237329;20171115;201711;2017;2017.8630;BRA;BRAZIL;BRA;;;;;;;;FRA;PARIS;FRA;;;;;;;;1;130;130;13;3;-4.4;7;1;7;-4.29988974641676;4;Santarem, ParíçR, Brazil;BR;BR16;18585;-0.95;-46.9833;-668998;4;Paris, France (general), France;FR;FR00;16282;48.8667;2.33333;-1456928;4;Paris, France (general), France;FR;FR00;16282;48.8667;2.33333;-1456928;2,02E+13;https://www.truthdig.com/articles/brazils-recession-grows-emissions-rise/
707237330;20171115;201711;2017;2017.8630;BRA;BRAZIL;BRA;;;;;;;;MED;JOURNALIST;;;;;;MED;;;0;10;10;1;1;0.0;4;1;4;-4.51478982874935;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;2,02E+13;https://knightcenter.utexas.edu/blog/00-19007-investigating-past-journalists-rewrite-collective-memory-human-rights-violations-latin
707237331;20171115;201711;2017;2017.8630;BRA;BRAZIL;BRA;;;;;;;;MED;JOURNALIST;;;;;;MED;;;0;175;175;17;4;-9.0;1;1;1;-4.51478982874935;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;2,02E+13;https://knightcenter.utexas.edu/blog/00-19007-investigating-past-journalists-rewrite-collective-memory-human-rights-violations-latin
707237332;20171115;201711;2017;2017.8630;BRA;BRAZIL;BRA;;;;;;;;MIL;MILITARY;;;;;;MIL;;;0;10;10;1;1;0.0;4;1;4;-4.51478982874935;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;2,02E+13;https://knightcenter.utexas.edu/blog/00-19007-investigating-past-journalists-rewrite-collective-memory-human-rights-violations-latin
707237333;20171115;201711;2017;2017.8630;BRA;BRAZIL;BRA;;;;;;;;MIL;MILITARY;;;;;;MIL;;;0;1822;182;18;4;-9.0;10;1;10;-4.51478982874935;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;2,02E+13;https://knightcenter.utexas.edu/blog/00-19007-investigating-past-journalists-rewrite-collective-memory-human-rights-violations-latin
707237334;20171115;201711;2017;2017.8630;BRA;BRAZIL;BRA;;;;;;;;OPP;DEMOCRACY ACTIVIST;;;;;;OPP;;;0;175;175;17;4;-9.0;1;1;1;-4.51478982874935;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;2,02E+13;https://knightcenter.utexas.edu/blog/00-19007-investigating-past-journalists-rewrite-collective-memory-human-rights-violations-latin
707237335;20171115;201711;2017;2017.8630;BRAMED;BRAZIL;BRA;;;;;MED;;;BRA;BRAZILIAN;BRA;;;;;;;;0;100;100;10;3;-5.0;4;1;4;-4.51478982874935;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;2,02E+13;https://knightcenter.utexas.edu/blog/00-19007-investigating-past-journalists-rewrite-collective-memory-human-rights-violations-latin
707237336;20171115;201711;2017;2017.8630;BRAMED;BRAZIL;BRA;;;;;MED;;;GOV;MINIST;;;;;;GOV;;;0;10;10;1;1;0.0;1;1;1;-4.51478982874935;1;Brazil;BR;BR;;-10;-55;BR;1;Brazil;BR;BR;;-10;-55;BR;1;Chile;CI;CI;;-30;-71;CI;2,02E+13;https://knightcenter.utexas.edu/blog/00-19007-investigating-past-journalists-rewrite-collective-memory-human-rights-violations-latin
707237337;20171115;201711;2017;2017.8630;BTN;BHUTAN;BTN;;;;;;;;;;;;;;;;;;1;51;51;5;1;3.4;4;1;4;5.66037735849057;1;Bhutan;BT;BT;;27.5;90.5;BT;0;;;;;;;;1;Bhutan;BT;BT;;27.5;90.5;BT;2,02E+13;http://news.statetimes.in/darakhshan-receives-tathagat-sahitya-samman/
707237338;20171115;201711;2017;2017.8630;BTN;BHUTAN;BTN;;;;;;;;IND;UTTAR PRADESH;IND;;;;;;;;1;70;70;7;2;7.0;2;1;2;5.66037735849057;1;Bhutan;BT;BT;;27.5;90.5;BT;1;Bhutan;BT;BT;;27.5;90.5;BT;1;Bhutan;BT;BT;;27.5;90.5;BT;2,02E+13;http://news.statetimes.in/darakhshan-receives-tathagat-sahitya-samman/
707237339;20171115;201711;2017;2017.8630;BUD;BUDDHIST;;;;BUD;;;;;MMR;BURMESE;MMR;;;;;;;;1;46;46;4;1;7.0;4;1;2;-6.25;1;Myanmar;BM;BM;;22;98;BM;1;Myanmar;BM;BM;;22;98;BM;1;Cambodia;CB;CB;;13;105;CB;2,02E+13;https://www.npr.org/2017/11/15/564443814/in-myanmar-the-persecution-of-the-muslim-minority-the-rohingya-continues
707237340;20171115;201711;2017;2017.8630;BUD;BUDDHIST;;;;BUD;;;;;MMR;MYANMAR;MMR;;;;;;;;1;46;46;4;1;7.0;2;1;1;-6.25;1;Cambodia;CB;CB;;13;105;CB;1;Myanmar;BM;BM;;22;98;BM;1;Cambodia;CB;CB;;13;105;CB;2,02E+13;https://www.npr.org/2017/11/15/564443814/in-myanmar-the-persecution-of-the-muslim-minority-the-rohingya-continues
707237341;20171115;201711;2017;2017.8630;BUS;PRODUCER;;;;;;BUS;;;;;;;;;;;;;1;10;10;1;1;0.0;3;1;3;-4.75594493116395;4;Brisbane, Queensland, Australia;AS;AS04;154654;-27.5;153.017;-1561728;0;;;;;;;;4;Brisbane, Queensland, Australia;AS;AS04;154654;-27.5;153.017;-1561728;2,02E+13;http://www.dailytelegraph.com.au/lifestyle/meet-the-faces-of-series-2-of-struggle-street/news-story/7350c0dfef215ad72614630ffe907902?nk=91dc9d160d3b2e6221b138349f65a0d4-1510784251
707237342;20171115;201711;2017;2017.8630;BUS;PRODUCER;;;;;;BUS;;;;;;;;;;;;;1;10;10;1;1;0.0;3;1;3;-4.98409331919406;4;Mount Druitt, New South Wales, Australia;AS;AS02;5068;-33.7667;150.817;-1589270;0;;;;;;;;4;Mount Druitt, New South Wales, Australia;AS;AS02;5068;-33.7667;150.817;-1589270;2,02E+13;http://www.news.com.au/lifestyle/real-life/news-life/meet-the-faces-of-series-2-of-struggle-street/news-story/7350c0dfef215ad72614630ffe907902
707237343;20171115;201711;2017;2017.8630;BUS;COMPANY;;;;;;BUS;;;;;;;;;;;;;1;10;10;1;1;0.0;8;1;8;-5.13513513513514;4;Canara, Karnataka, India;IN;IN19;17696;14.8833;74.5833;-2113992;0;;;;;;;;4;Canara, Karnataka, India;IN;IN19;17696;14.8833;74.5833;-2113992;2,02E+13;http://www.financialexpress.com/market/anil-ambani-led-reliance-group-suffers-massive-setback-as-stocks-fall-over-reliance-communications-default-fears/934612/
707237344;20171115;201711;2017;2017.8630;BUS;COMPANY;;;;;;BUS;;;;;;;;;;;;;1;10;10;1;1;0.0;2;1;2;-5.13513513513514;4;Canara, Karnataka, India;IN;IN19;17696;14.8833;74.5833;-2113992;0;;;;;;;;1;Japan;JA;JA;;36;138;JA;2,02E+13;http://www.financialexpress.com/market/anil-ambani-led-reliance-group-suffers-massive-setback-as-stocks-fall-over-reliance-communications-default-fears/934612/
707237345;20171115;201711;2017;2017.8630;BUS;LANDLORD;;;;;;BUS;;;;;;;;;;;;;0;10;10;1;1;0.0;2;1;2;-0.60468631897203;3;Sedona, Arizona, United States;US;USAZ;AZ005;34.8697;-111.761;34242;0;;;;;;;;3;Sedona, Arizona, United States;US;USAZ;AZ005;34.8697;-111.761;34242;2,02E+13;http://www.redrocknews.com/news/68510-sedona-s-housing-shortage-is-growing-crisis
707237346;20171115;201711;2017;2017.8630;BUS;LANDLORD;;;;;;BUS;;;;;;;;;;;;;0;10;10;1;1;0.0;6;1;6;-4.2983565107459;2;Kansas, United States;US;USKS;;38.5111;-96.8005;KS;0;;;;;;;;2;Kansas, United States;US;USKS;;38.5111;-96.8005;KS;2,02E+13;http://www.kansan.com/news/princeton-professor-speaks-at-ku-on-systemic-poverty-housing-inequality/article_898435d4-ca25-11e7-9dd8-ffe2a53859e5.html
707237347;20171115;201711;2017;2017.8630;BUS;COMPANY;;;;;;BUS;;;;;;;;;;;;;0;10;10;1;1;0.0;10;1;10;0;2;New Hampshire, United States;US;USNH;;43.4108;-71.5653;NH;0;;;;;;;;2;New Hampshire, United States;US;USNH;;43.4108;-71.5653;NH;2,02E+13;http://www.middletownpress.com/news/article/Mystery-of-disappearing-ballots-solved-12360491.php
707237348;20171115;201711;2017;2017.8630;BUS;ENTREPRENEUR;;;;;;BUS;;;;;;;;;;;;;0;12;12;1;1;-0.4;2;1;2;1.91256830601092;4;Fatuma, Nigeria (general), Nigeria;NI;NI00;191422;9.66667;5.3;-2008769;0;;;;;;;;4;Mwanga, Kigoma, Tanzania;TZ;TZ05;115055;-4.88306;29.6392;-2570906;2,02E+13;http://www.ictdev.org/pulse/20171115/neha-misra-brings-light%E2%80%94and-power%E2%80%94-lives-women-around-world
707237349;20171115;201711;2017;2017.8630;BUS;ENTREPRENEUR;;;;;;BUS;;;;;;;;;;;;;0;12;12;1;1;-0.4;6;1;6;1.91256830601092;4;Arusha, Arusha, Tanzania;TZ;TZ26;48384;-3.36667;36.6833;-2561033;0;;;;;;;;4;Arusha, Arusha, Tanzania;TZ;TZ26;48384;-3.36667;36.6833;-2561033;2,02E+13;http://www.ictdev.org/pulse/20171115/neha-misra-brings-light%E2%80%94and-power%E2%80%94-lives-women-around-world
707237350;20171115;201711;2017;2017.8630;BUS;ENTREPRENEUR;;;;;;BUS;;;;;;;;;;;;;0;12;12;1;1;-0.4;2;1;2;1.91256830601092;4;Mwanga, Kigoma, Tanzania;TZ;TZ05;115055;-4.88306;29.6392;-2570906;0;;;;;;;;4;Mwanga, Kigoma, Tanzania;TZ;TZ05;115055;-4.88306;29.6392;-2570906;2,02E+13;http://www.ictdev.org/pulse/20171115/neha-misra-brings-light%E2%80%94and-power%E2%80%94-lives-women-around-world
707237351;20171115;201711;2017;2017.8630;BUS;COMPANY;;;;;;BUS;;;;;;;;;;;;;1;12;12;1;1;-0.4;10;1;10;-0.97357440890125;4;Toronto, Ontario, Canada;CA;CA08;12686;43.6667;-79.4167;-574890;0;;;;;;;;4;Toronto, Ontario, Canada;CA;CA08;12686;43.6667;-79.4167;-574890;2,02E+13;https://www.winnipegfreepress.com/business/most-actively-traded-companies-on-the-tsx-457801853.html
707237352;20171115;201711;2017;2017.8630;BUS;COMPANY;;;;;;BUS;;;;;;;;;;;;;1;12;12;1;1;-0.4;10;1;10;-0.97357440890125;4;Winnipeg, Manitoba, Canada;CA;CA03;12577;49.8833;-97.1667;-576096;0;;;;;;;;4;Winnipeg, Manitoba, Canada;CA;CA03;12577;49.8833;-97.1667;-576096;2,02E+13;https://www.winnipegfreepress.com/business/most-actively-traded-companies-on-the-tsx-457801853.html
707237353;20171115;201711;2017;2017.8630;BUS;BANK;;;;;;BUS;;;;;;;;;;;;;1;15;15;1;1;0.0;2;1;2;-8.06916426512968;3;Springfield, Missouri, United States;US;USMO;MO077;37.2153;-93.2982;735864;0;;;;;;;;3;Springfield, Missouri, United States;US;USMO;MO077;37.2153;-93.2982;735864;2,02E+13;http://www.kspr.com/content/news/Springfield-man-pleads-guilty-to-bank-robbery-457805483.html
707237354;20171115;201711;2017;2017.8630;BUS;CORPORATION;;;;;;BUS;;;;;;;;;;;;;0;20;20;2;1;3.0;5;1;5;-1.64765525982256;4;Tubara, Atlíçico, Colombia;CO;CO04;13495;10.8744;-74.9789;-600694;0;;;;;;;;4;Tubara, Atlíçico, Colombia;CO;CO04;13495;10.8744;-74.9789;-600694;2,02E+13;http://globenewswire.com/news-release/2017/11/15/1193796/0/en/Canacol-Energy-Ltd-Makes-9th-Consecutive-Gas-Discovery-in-Colombia.html
